,MAE,Loss,config/batches
9,0.3401203453540802,0.3514091670513153,64
3,0.3425080180168152,0.3540267050266266,64
17,0.3440253734588623,0.35242125391960144,256
16,0.3447304964065552,0.3489973545074463,128
7,0.34632357954978943,0.36585307121276855,16
5,0.34645840525627136,0.3520301878452301,256
15,0.34755057096481323,0.35560518503189087,64
13,0.3481014668941498,0.3667629361152649,16
4,0.34853628277778625,0.35490909218788147,128
8,0.3494800627231598,0.37118637561798096,32
11,0.35039636492729187,0.3529173731803894,256
10,0.3504306375980377,0.35244905948638916,128
14,0.35151901841163635,0.3572259247303009,32
12,0.3539254069328308,0.3818278908729553,8
2,0.35437288880348206,0.36984068155288696,32
1,0.35444286465644836,0.36713218688964844,16
6,0.3624602258205414,0.38052549958229065,8
0,0.3715839684009552,0.402174711227417,8
